Segment;Reifegrad-Score;Lead Score alt;Prio alt;Firma;Branche;Produkte / Systeme;Zielmärkte;Website;Website-Status;Adresse;Telefon;Ansprechpartner;Position;E-Mail;Hauptgrund;Blocker / Risiko;Empfohlene Aktion;Gesprächseinstieg;Hohe Anforderung erkannt;Mittlere Anforderung erkannt;Wettbewerber/Eigenfertigung erkannt;Quellen;Original-Zeile
Jetzt ansprechen;100;95;A;Dessl Maschinenbau GmbH;Maschinenbau;Maschinenbau, Automatisierung, Verpackungsmaschinen, Robotik;Lebensmittel, Verpackung, Kunststoffindustrie;http://www.dessl-mb.com/;erreichbar (200);Stanser Au 6c;+43 5242 63610;Daniel Angerer;Geschäftsführung;kontakt@dessl-mb.com;"Fit: Sondermaschinen, Automatisierung, Robotik, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.dessl-mb.com/ | https://www.dessl-mb.com/de/produkte/ | https://w...;33
Jetzt ansprechen;100;95;A;Schittl GmbH;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen;nicht gefunden;https://www.schittl-gmbh.at/;erreichbar (200);Gewerbegebiet 1;+43 3382 72259;Roman Gradwohl;Geschäftsführung;roman.gradwohl@schittl-gmbh.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.schittl-gmbh.at/ | https://www.schittl-gmbh.at/produktion/maschin...;36
Jetzt ansprechen;100;95;A;SEW-Maschinenbau e.U.;Maschinenbau;Sondermaschinen, Maschinenbau, Anlagenbau, Vorrichtungen;Energie;https://www.sew-maschinenbau.eu/;erreichbar (200);Dolintschitschach 29 Feistritz ob Bleiburg, Dolint...;+43 664 1355776;nicht gefunden;nicht gefunden;nicht gefunden;"Fit: Sondermaschinen, Vorrichtungen, Anlagenbau, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://www.sew-maschinenbau.eu/ | https://www.sew-maschinenbau.eu/sewing/ | ...;37
Jetzt ansprechen;100;95;A;Ulrich Maschinenbau GmbH;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Vorrichtungen, Fördertechnik;Energie, Kunststoffindustrie;http://www.ulrich-maschinenbau.at/;erreichbar (200);Eichfelder Str. 20;+43 3472 24340;Evelyn Nemet;Geschäftsführung;evelyn@ulrich-maschinenbau.at;"Fit: Sondermaschinen, Vorrichtungen, Fördertechnik, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://ulrich-maschinenbau.at/ | https://ulrich-maschinenbau.at/leistungen/ ...;40
Jetzt ansprechen;100;90;A;Grundner Sondermaschinen GmbH;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen, Fördertechnik;nicht gefunden;http://www.grundner.co.at/;erreichbar (200);Gewerbepark N 1;+43 7240 21010;Johann Grundner;Geschäftsführung;office@grundner.co.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Fördertechnik; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.grundner.co.at/ | https://www.grundner.co.at/ueber-uns/ | https:/...;41
Jetzt ansprechen;100;90;A;Maschinenbau Purkrabek GmbH;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Anlagenbau, Automatisierung, Fördertechnik;nicht gefunden;https://www.purkrabek.at/;erreichbar (200);Markt 482;+43 6472 7444;nicht gefunden;nicht gefunden;nicht gefunden;Fit: Sondermaschinen, Automatisierung, Fördertechnik, Anlagenbau;kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.purkrabek.at/ | https://www.purkrabek.at/impressum/;45
Jetzt ansprechen;100;85;A;Haas Maschinenbau GmbH & Co. KG;Unternehmen für Maschinenbau;Sondermaschinen, Maschinenbau, Fördertechnik;nicht gefunden;https://www.maschinenbau-haas.at/;erreichbar (200);Achenweg 50;+43 5356 62615;nicht gefunden;nicht gefunden;mb-haas@aon.at;"Fit: Sondermaschinen, Fördertechnik, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.maschinenbau-haas.at/ | https://www.maschinenbau-haas.at/index.ph...;49
Jetzt ansprechen;95;80;A;ASTAM Stahl- Anlagen- und Maschinenbau;Maschinenbauunternehmen;Maschinenbau, Anlagenbau, Automatisierung;nicht gefunden;http://www.astam.at/;erreichbar (200);St. Jakob 33;+43 4358 32620;Alexandra Stückler;Geschäftsführung;alexandra.stueckler@astam.at;"Fit: Sondermaschinen, Automatisierung, Anlagenbau, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.astam.at/ | https://www.astam.at/unternehmen/ | https://www.astam...;52
Jetzt ansprechen;90;85;A;Lechenauer Maschinenbau;Maschinenbauunternehmen;Maschinenbau, Fördertechnik;Lebensmittel, Holzindustrie, Verpackung, Kunststoffindustrie;http://www.lechenauer.at/;erreichbar (200);Bad Haller Str. 21;nicht gefunden;nicht gefunden;nicht gefunden;office@lechenauer.at;"Fit: Sondermaschinen, Fördertechnik, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.lechenauer.at/ | https://www.lechenauer.at/unternehmen/ | https:/...;50
Jetzt ansprechen;90;75;B;Christian Piras GesmbH;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen;Verpackung;http://www.sondermaschinen.at/;erreichbar (200);Zetschegasse 21/Top 211;+43 1 8674377;nicht gefunden;nicht gefunden;office@sondermaschinen.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.sondermaschinen.at/ | https://www.sondermaschinen.at/produkte.htm...;62
Jetzt ansprechen;90;75;B;Hinterleitner Maschinenbau;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Vorrichtungen, Fördertechnik;nicht gefunden;https://www.hinterleitner.co.at/;erreichbar (200);Niederegg 251;nicht gefunden;nicht gefunden;nicht gefunden;info@hinterleithner.co.at;"Fit: Sondermaschinen, Vorrichtungen, Fördertechnik, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.hinterleitner.co.at/ | https://www.hinterleitner.co.at/mechanisch...;64
Jetzt ansprechen;90;75;B;Temel Maschinenbau GmbH;Maschinenbau;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen;Verpackung;http://www.temel-metall.com/;erreichbar (200);Erlenstraße 7;+43 664 8227754;nicht gefunden;nicht gefunden;b.temel@tmv-cnc.com;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.temel-metall.com/ | https://www.temel-metall.com/unternehmen/aktu...;68
Jetzt ansprechen;85;80;A;Bösch Walter Maschinenbau GmbH;Maschinenbau;Sondermaschinen, Maschinenbau, Vorrichtungen;Lebensmittel, Kunststoffindustrie;https://www.wboesch.at/;erreichbar (200);Maria-Theresien-Straße 59;+43 5577 824220;nicht gefunden;nicht gefunden;info@wboesch.at;"Fit: Sondermaschinen, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.wboesch.at/ | https://www.wboesch.at/referenzen/ | https://www.wb...;53
Jetzt ansprechen;85;80;A;KGB Sondermaschinenbau GmbH;Maschinenbau;Sondermaschinen, Maschinenbau, Verpackungsmaschinen, Fördertechnik;Lebensmittel, Verpackung, Kunststoffindustrie;http://www.kgb-mb.at/;erreichbar (200);Wolfgangstein 30;nicht gefunden;nicht gefunden;nicht gefunden;office@kgb-mb.at;"Fit: Sondermaschinen, Fördertechnik, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.kgb-mb.at/ | https://www.kgb-mb.at/unternehmen.html | https://www...;56
Jetzt ansprechen;85;80;A;Maschinenbau und Anlagenservice Fankhauser;Maschinenbau;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen, Robotik;Lebensmittel;http://www.maf.tirol/;erreichbar (200);Angerstraße 8;nicht gefunden;nicht gefunden;nicht gefunden;office@maf.tirol;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Robotik; Projektgeschäft/kundenspezifische Entwicklung erkennbar";mittlere Lieferantenanforderung möglich: Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Lebensmittel;;https://www.maf.tirol/ | https://www.maf.tirol/kontakt | https://www.maf.tiro...;57
Jetzt ansprechen;85;80;A;NT Sondermaschinenbau GmbH;Hersteller von Maschinenteilen;Sondermaschinen, Maschinenbau, Vorrichtungen;Lebensmittel, Energie;http://www.nowotny.co.at/;erreichbar (200);Favoritner Gewerbering 5;+43 1 6021507;nicht gefunden;nicht gefunden;nicht gefunden;"Fit: Sondermaschinen, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie, Lebensmittel;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie, Lebensmittel;;https://nowotny.co.at/ | https://nowotny.co.at/unternehmen.php | https://nowo...;58
Jetzt ansprechen;85;70;B;Maschinenbau Stock GmbH;Maschinenbauunternehmen;Maschinenbau;Kunststoffindustrie;http://www.mb-stock.com/;erreichbar (200);Kleinfeld 8;+43 5373 42699;nicht gefunden;nicht gefunden;office@mb-stock.com;"Fit: Sondermaschinen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.mb-stock.com/ | https://www.mb-stock.com/kontakt | https://www.mb...;70
Jetzt ansprechen;85;70;B;Wagner Maschinenbau;Maschinenbauunternehmen;Maschinenbau;Kunststoffindustrie;http://www.wagner-shredder.com/;erreichbar (200);Panoramastraße 13;+43 3329 24780;Roland Kohl | Jeremy Lindop;Geschäftsführung | Geschäftsführung;office@wagner-shredder.at;"Fit: Sondermaschinen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";kein harter ISO-Blocker aus den vorhandenen Daten erkennbar;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;;;https://www.wagner-shredder.com/de/ | https://www.wagner-shredder.com/de/gebr...;72
Jetzt ansprechen;80;75;B;FS Maschinenbau;Maschinenbauunternehmen;Sondermaschinen, Maschinenbau, Automatisierung, Vorrichtungen;Energie;http://www.fs-maschinenbau.at/;erreichbar (200);Laudachtal 14;+43 7612 67062;nicht gefunden;nicht gefunden;office@fs-maschinenbau.at;"Fit: Sondermaschinen, Automatisierung, Vorrichtungen, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://www.fs-maschinenbau.at/en | https://www.fs-maschinenbau.at/en/service...;63
Jetzt ansprechen;80;75;B;KAME engineering GmbH - Ingenieurbüro für Maschine...;Maschinenbau;Sondermaschinen, Maschinenbau, Anlagenbau, Vorrichtungen;Energie;https://www.kame.at/;erreichbar (200);Lunzerstraße 89 6. Stock, Büro 608/612;+43 732 69892474;nicht gefunden;nicht gefunden;nicht gefunden;"Fit: Sondermaschinen, Vorrichtungen, Anlagenbau, Maschinenbau; Projektgeschäft/kundenspezifische Entwicklung erkennbar; Fertigung/Produktion als Bedarfstreiber erkennbar";mittlere Lieferantenanforderung möglich: Energie;Telefon oder LinkedIn zuerst. Angebot als Zusatzkapazität für einfache bis mittlere Drehteile. Keine ISO behaupten.;Wir bieten Zusatzkapazität für CNC-Drehteile aus Kunststoff, Aluminium und zerspanbaren Stählen, vor allem für Prototypen und Kleinserien.;;Energie;;https://www.kame.at/ | https://www.kame.at/kompetenzen.html | https://www.kam...;65
